iter	Passed	Remaining
702	4470	1888
703	4476	1882
704	4482	1875
705	4488	1869
706	4494	1862
707	4500	1856
708	4506	1849
709	4512	1843
710	4519	1836
711	4525	1830
712	4531	1823
713	4537	1817
714	4543	1810
715	4549	1804
716	4555	1797
717	4561	1791
718	4567	1784
719	4573	1778
720	4579	1771
721	4585	1765
722	4590	1758
723	4596	1752
724	4602	1745
725	4608	1739
726	4615	1733
727	4621	1726
728	4627	1720
729	4633	1713
730	4639	1707
731	4646	1701
732	4652	1694
733	4658	1688
734	4664	1681
735	4670	1675
736	4676	1668
737	4682	1662
738	4689	1656
739	4695	1649
740	4702	1643
741	4708	1637
742	4715	1631
743	4722	1624
744	4729	1618
745	4735	1612
746	4741	1605
747	4748	1599
748	4754	1593
749	4760	1586
750	4766	1580
751	4772	1573
752	4778	1567
753	4784	1560
754	4790	1554
755	4796	1548
756	4802	1541
757	4808	1535
758	4814	1528
759	4820	1522
760	4826	1515
761	4832	1509
762	4839	1503
763	4845	1496
764	4851	1490
765	4857	1483
766	4863	1477
767	4869	1471
768	4875	1464
769	4881	1458
770	4887	1451
771	4894	1445
772	4900	1439
773	4906	1432
774	4912	1426
775	4918	1419
776	4925	1413
777	4931	1407
778	4937	1400
779	4943	1394
780	4949	1387
781	4955	1381
782	4961	1374
783	4966	1368
784	4973	1362
785	4978	1355
786	4984	1349
787	4991	1342
788	4997	1336
789	5003	1329
790	5008	1323
791	5014	1317
792	5020	1310
793	5026	1304
794	5032	1297
795	5038	1291
796	5044	1284
797	5050	1278
798	5055	1271
799	5061	1265
800	5067	1259
801	5073	1252
802	5079	1246
803	5085	1239
804	5091	1233
805	5097	1226
806	5103	1220
807	5109	1214
808	5115	1207
809	5121	1201
810	5127	1195
811	5133	1188
812	5139	1182
813	5145	1175
814	5151	1169
815	5157	1162
816	5163	1156
817	5169	1150
818	5175	1143
819	5181	1137
820	5187	1130
821	5192	1124
822	5198	1118
823	5204	1111
824	5210	1105
825	5217	1099
826	5223	1092
827	5230	1086
828	5237	1080
829	5243	1073
830	5249	1067
831	5255	1061
832	5261	1054
833	5267	1048
834	5273	1041
835	5279	1035
836	5285	1029
837	5290	1022
838	5296	1016
839	5302	1010
840	5310	1003
841	5316	997
842	5322	991
843	5328	984
844	5334	978
845	5340	972
846	5346	965
847	5352	959
848	5359	953
849	5365	946
850	5371	940
851	5377	934
852	5383	927
853	5389	921
854	5395	914
855	5401	908
856	5407	902
857	5413	895
858	5419	889
859	5425	883
860	5431	876
861	5437	870
862	5443	864
863	5449	857
864	5455	851
865	5461	845
866	5467	838
867	5473	832
868	5479	826
869	5485	819
870	5491	813
871	5497	806
872	5503	800
873	5509	794
874	5515	787
875	5522	781
876	5528	775
877	5534	769
878	5540	762
879	5546	756
880	5552	749
881	5559	743
882	5565	737
883	5571	731
884	5576	724
885	5582	718
886	5588	711
887	5594	705
888	5600	699
889	5606	692
890	5612	686
891	5618	680
892	5624	673
893	5629	667
894	5635	661
895	5641	654
896	5647	648
897	5653	642
898	5659	635
899	5665	629
900	5671	623
901	5677	616
902	5684	610
903	5690	604
904	5696	597
905	5702	591
906	5708	585
907	5714	578
908	5720	572
909	5726	566
910	5732	560
911	5739	553
912	5746	547
913	5752	541
914	5758	534
915	5764	528
916	5771	522
917	5776	516
918	5782	509
919	5788	503
920	5795	497
921	5801	490
922	5808	484
923	5814	478
924	5820	471
925	5827	465
926	5833	459
927	5841	453
928	5847	446
929	5853	440
930	5860	434
931	5866	428
932	5873	421
933	5879	415
934	5885	409
935	5892	402
936	5898	396
937	5905	390
938	5911	384
939	5917	377
940	5924	371
941	5930	365
942	5937	358
943	5944	352
944	5950	346
945	5957	340
946	5964	333
947	5970	327
948	5976	321
949	5983	314
950	5990	308
951	5996	302
952	6003	296
953	6009	289
954	6015	283
955	6022	277
956	6028	270
957	6035	264
958	6041	258
959	6048	252
960	6054	245
961	6060	239
962	6067	233
963	6074	226
964	6080	220
965	6087	214
966	6094	207
967	6100	201
968	6106	195
969	6113	189
970	6119	182
971	6125	176
972	6132	170
973	6138	163
974	6145	157
975	6151	151
976	6159	145
977	6166	138
978	6173	132
979	6180	126
980	6186	119
981	6192	113
982	6199	107
983	6206	100
984	6213	94
985	6221	88
986	6228	82
987	6236	75
988	6243	69
989	6250	63
990	6257	56
991	6264	50
992	6272	44
993	6279	37
994	6285	31
995	6293	25
996	6301	18
997	6310	12
998	6317	6
999	6324	0
