RDATE,INDUSTRY,MEAN_SENT,Risk,Predict,Total_News,article_ratio,Total_Volume,trade_volum_ratio
2025-12-01,헬스케어,0.8547109,10.050266835470136,0,792,0.33586,58392706,0.5009
2025-12-02,헬스케어,0.85171336,9.626231170900711,0,564,0.37411,58741587,0.42708
2025-12-03,헬스케어,0.8620511,10.324610096338123,0,592,0.35304,71860974,0.48604
2025-12-04,헬스케어,0.82665956,8.630458339123438,0,722,0.34072,69638077,0.4277
2025-12-05,헬스케어,0.8112101,12.104299602712048,0,471,0.44798,89751559,0.49644
2025-12-08,헬스케어,0.83711594,10.972827712564548,0,631,0.4168,80754872,0.45678
2025-12-09,헬스케어,0.8359742,10.985610389608317,0,629,0.40541,65766120,0.47128
2025-12-10,헬스케어,0.82117605,12.801168839231009,0,545,0.41101,57835302,0.57265
2025-12-11,헬스케어,0.8684317,9.538148256496095,0,551,0.3412,131355304,0.45373
2025-12-12,헬스케어,0.79874915,6.451853648812814,0,495,0.34545,144856493,0.31287
2025-12-15,헬스케어,0.8030456,5.445510172876906,0,477,0.43187,144788403,0.20792
2025-12-16,헬스케어,0.7986301,6.651058939833734,0,671,0.40835,139052143,0.27534
2025-12-17,헬스케어,0.78387773,5.872271983741721,0,605,0.39835,101148584,0.25035
2025-12-18,헬스케어,0.85687965,6.141988284917387,0,707,0.41301,91788855,0.23039
2025-12-19,헬스케어,0.8007035,9.989510507664665,0,408,0.47059,78983677,0.38195
