,지역명,전용면적,연도,월,평당분양가격
212,세종,60m²~85m²,2015,12,8830.8
213,세종,85m²~102m²,2015,12,8781.3
214,세종,102m²~,2015,12,9081.6
215,강원,모든면적,2015,12,7164.299999999999
216,강원,60m²,2015,12,7563.599999999999
217,강원,60m²~85m²,2015,12,7236.9
218,강원,85m²~102m²,2015,12,6801.299999999999
219,강원,102m²~,2015,12,7164.299999999999
220,충북,모든면적,2015,12,6616.5
221,충북,60m²,2015,12,6405.299999999999
222,충북,60m²~85m²,2015,12,6656.099999999999
223,충북,85m²~102m²,2015,12,7510.799999999999
224,충북,102m²~,2015,12,7461.299999999999
225,충남,모든면적,2015,12,7487.7
226,충남,60m²,2015,12,8045.4
227,충남,60m²~85m²,2015,12,7520.7
228,충남,85m²~102m²,2015,12,8325.9
229,충남,102m²~,2015,12,8065.2
230,전북,모든면적,2015,12,6543.9
231,전북,60m²,2015,12,6352.5
232,전북,60m²~85m²,2015,12,6557.099999999999
233,전북,85m²~102m²,2015,12,7844.099999999999
234,전북,102m²~,2015,12,7530.599999999999
235,전남,모든면적,2015,12,6299.7
236,전남,60m²,2015,12,6596.7
237,전남,60m²~85m²,2015,12,6289.799999999999
238,전남,85m²~102m²,2015,12,7464.599999999999
239,전남,102m²~,2015,12,7180.799999999999
240,경북,모든면적,2015,12,7197.299999999999
241,경북,60m²,2015,12,7187.4
242,경북,60m²~85m²,2015,12,7207.2
243,경북,85m²~102m²,2015,12,8302.8
244,경북,102m²~,2015,12,7821.0
245,경남,모든면적,2015,12,7613.099999999999
246,경남,60m²,2015,12,7524.0
247,경남,60m²~85m²,2015,12,7685.7
248,경남,85m²~102m²,2015,12,9682.199999999999
249,경남,102m²~,2015,12,9962.699999999999
250,제주,모든면적,2015,12,7484.4
251,제주,60m²,2015,12,
252,제주,60m²~85m²,2015,12,7458.0
253,제주,85m²~102m²,2015,12,8523.9
254,제주,102m²~,2015,12,8494.199999999999
255,서울,모든면적,2016,1,20156.399999999998
256,서울,60m²,2016,1,21209.1
257,서울,60m²~85m²,2016,1,19918.8
258,서울,85m²~102m²,2016,1,21492.899999999998
259,서울,102m²~,2016,1,21618.3
260,인천,모든면적,2016,1,10530.3
261,인천,60m²,2016,1,10982.4
262,인천,60m²~85m²,2016,1,10263.0
263,인천,85m²~102m²,2016,1,11698.5
264,인천,102m²~,2016,1,11246.4
265,경기,모든면적,2016,1,10553.4
266,경기,60m²,2016,1,10866.9
267,경기,60m²~85m²,2016,1,10932.9
268,경기,85m²~102m²,2016,1,11385.0
269,경기,102m²~,2016,1,12705.0
270,부산,모든면적,2016,1,10401.599999999999
271,부산,60m²,2016,1,9738.3
272,부산,60m²~85m²,2016,1,10088.1
273,부산,85m²~102m²,2016,1,9758.1
274,부산,102m²~,2016,1,12579.599999999999
275,대구,모든면적,2016,1,10183.8
276,대구,60m²,2016,1,11025.3
277,대구,60m²~85m²,2016,1,10239.9
278,대구,85m²~102m²,2016,1,8355.6
279,대구,102m²~,2016,1,9051.9
280,광주,모든면적,2016,1,8477.699999999999
281,광주,60m²,2016,1,7903.5
282,광주,60m²~85m²,2016,1,8520.6
283,광주,85m²~102m²,2016,1,
284,광주,102m²~,2016,1,
285,대전,모든면적,2016,1,8098.2
286,대전,60m²,2016,1,8530.5
287,대전,60m²~85m²,2016,1,8012.4
288,대전,85m²~102m²,2016,1,8121.299999999999
289,대전,102m²~,2016,1,
290,울산,모든면적,2016,1,10051.8
291,울산,60m²,2016,1,8527.199999999999
292,울산,60m²~85m²,2016,1,10074.9
293,울산,85m²~102m²,2016,1,8787.9
294,울산,102m²~,2016,1,9484.199999999999
295,세종,모든면적,2016,1,8794.5
296,세종,60m²,2016,1,8583.3
297,세종,60m²~85m²,2016,1,8830.8
298,세종,85m²~102m²,2016,1,8781.3
299,세종,102m²~,2016,1,9081.6
300,강원,모든면적,2016,1,7170.9
301,강원,60m²,2016,1,7557.0
302,강원,60m²~85m²,2016,1,7256.7
303,강원,85m²~102m²,2016,1,6801.299999999999
304,강원,102m²~,2016,1,7164.299999999999
305,충북,모든면적,2016,1,6626.4
306,충북,60m²,2016,1,6441.599999999999
307,충북,60m²~85m²,2016,1,6669.299999999999
308,충북,85m²~102m²,2016,1,7510.799999999999
309,충북,102m²~,2016,1,7461.299999999999
310,충남,모든면적,2016,1,7491.0
311,충남,60m²,2016,1,8187.299999999999
312,충남,60m²~85m²,2016,1,7527.299999999999
313,충남,85m²~102m²,2016,1,8385.3
314,충남,102m²~,2016,1,8065.2
315,전북,모든면적,2016,1,6534.0
316,전북,60m²,2016,1,6296.4
317,전북,60m²~85m²,2016,1,6557.099999999999
318,전북,85m²~102m²,2016,1,7844.099999999999
319,전북,102m²~,2016,1,7530.599999999999
320,전남,모든면적,2016,1,6299.7
321,전남,60m²,2016,1,6596.7
322,전남,60m²~85m²,2016,1,6289.799999999999
323,전남,85m²~102m²,2016,1,7464.599999999999
324,전남,102m²~,2016,1,7180.799999999999
325,경북,모든면적,2016,1,7197.299999999999
326,경북,60m²,2016,1,7187.4
327,경북,60m²~85m²,2016,1,7210.5
328,경북,85m²~102m²,2016,1,8302.8
329,경북,102m²~,2016,1,7741.799999999999
330,경남,모든면적,2016,1,7679.099999999999
331,경남,60m²,2016,1,7491.0
332,경남,60m²~85m²,2016,1,7748.4
333,경남,85m²~102m²,2016,1,9652.5
334,경남,102m²~,2016,1,9332.4
335,제주,모든면적,2016,1,7484.4
336,제주,60m²,2016,1,
337,제주,60m²~85m²,2016,1,7458.0
338,제주,85m²~102m²,2016,1,8523.9
339,제주,102m²~,2016,1,8494.199999999999
340,서울,모든면적,2016,2,20166.3
341,서울,60m²,2016,2,21245.399999999998
342,서울,60m²~85m²,2016,2,19928.7
343,서울,85m²~102m²,2016,2,21492.899999999998
344,서울,102m²~,2016,2,21311.399999999998
345,인천,모든면적,2016,2,10533.599999999999
346,인천,60m²,2016,2,10982.4
347,인천,60m²~85m²,2016,2,10269.599999999999
348,인천,85m²~102m²,2016,2,11698.5
349,인천,102m²~,2016,2,11246.4
350,경기,모든면적,2016,2,10622.699999999999
351,경기,60m²,2016,2,10870.199999999999
352,경기,60m²~85m²,2016,2,10784.4
353,경기,85m²~102m²,2016,2,11157.3
354,경기,102m²~,2016,2,12107.699999999999
355,부산,모든면적,2016,2,10408.199999999999
356,부산,60m²,2016,2,9896.699999999999
357,부산,60m²~85m²,2016,2,10098.0
358,부산,85m²~102m²,2016,2,9758.1
359,부산,102m²~,2016,2,12579.599999999999
360,대구,모든면적,2016,2,10111.199999999999
361,대구,60m²,2016,2,11025.3
362,대구,60m²~85m²,2016,2,10160.699999999999
363,대구,85m²~102m²,2016,2,8355.6
364,대구,102m²~,2016,2,9051.9
365,광주,모든면적,2016,2,8477.699999999999
366,광주,60m²,2016,2,7903.5
367,광주,60m²~85m²,2016,2,8520.6
368,광주,85m²~102m²,2016,2,
369,광주,102m²~,2016,2,
370,대전,모든면적,2016,2,8098.2
371,대전,60m²,2016,2,8530.5
372,대전,60m²~85m²,2016,2,8012.4
373,대전,85m²~102m²,2016,2,8121.299999999999
374,대전,102m²~,2016,2,
375,울산,모든면적,2016,2,10051.8
376,울산,60m²,2016,2,8527.199999999999
377,울산,60m²~85m²,2016,2,10074.9
378,울산,85m²~102m²,2016,2,8787.9
379,울산,102m²~,2016,2,9484.199999999999
380,세종,모든면적,2016,2,8794.5
381,세종,60m²,2016,2,8583.3
382,세종,60m²~85m²,2016,2,8830.8
383,세종,85m²~102m²,2016,2,8781.3
384,세종,102m²~,2016,2,9081.6
385,강원,모든면적,2016,2,7170.9
386,강원,60m²,2016,2,7557.0
387,강원,60m²~85m²,2016,2,7260.0
388,강원,85m²~102m²,2016,2,
389,강원,102m²~,2016,2,7755.0
390,충북,모든면적,2016,2,6626.4
391,충북,60m²,2016,2,6441.599999999999
392,충북,60m²~85m²,2016,2,6669.299999999999
393,충북,85m²~102m²,2016,2,7510.799999999999
394,충북,102m²~,2016,2,7461.299999999999
395,충남,모든면적,2016,2,7497.599999999999
396,충남,60m²,2016,2,8236.8
397,충남,60m²~85m²,2016,2,7530.599999999999
398,충남,85m²~102m²,2016,2,8385.3
399,충남,102m²~,2016,2,8065.2
400,전북,모든면적,2016,2,6534.0
401,전북,60m²,2016,2,6296.4
402,전북,60m²~85m²,2016,2,6557.099999999999
403,전북,85m²~102m²,2016,2,7844.099999999999
404,전북,102m²~,2016,2,7533.9
405,전남,모든면적,2016,2,6345.9
406,전남,60m²,2016,2,6596.7
407,전남,60m²~85m²,2016,2,6339.299999999999
408,전남,85m²~102m²,2016,2,7464.599999999999
409,전남,102m²~,2016,2,7180.799999999999
410,경북,모든면적,2016,2,7190.7
411,경북,60m²,2016,2,7167.599999999999
412,경북,60m²~85m²,2016,2,7230.299999999999
413,경북,85m²~102m²,2016,2,8355.6
414,경북,102m²~,2016,2,7741.799999999999
415,경남,모든면적,2016,2,7781.4
416,경남,60m²,2016,2,7791.299999999999
417,경남,60m²~85m²,2016,2,7837.5
418,경남,85m²~102m²,2016,2,9652.5
419,경남,102m²~,2016,2,8820.9
420,제주,모든면적,2016,2,7484.4
421,제주,60m²,2016,2,
422,제주,60m²~85m²,2016,2,7458.0
423,제주,85m²~102m²,2016,2,8523.9
424,제주,102m²~,2016,2,8494.199999999999
425,서울,모든면적,2016,3,20370.899999999998
426,서울,60m²,2016,3,21615.0
427,서울,60m²~85m²,2016,3,20219.1
428,서울,85m²~102m²,2016,3,23690.699999999997
429,서울,102m²~,2016,3,21024.3
430,인천,모든면적,2016,3,10527.0
431,인천,60m²,2016,3,10965.9
432,인천,60m²~85m²,2016,3,10266.3
433,인천,85m²~102m²,2016,3,11698.5
434,인천,102m²~,2016,3,11246.4
435,경기,모든면적,2016,3,10609.5
436,경기,60m²,2016,3,11355.3
437,경기,60m²~85m²,2016,3,10754.699999999999
438,경기,85m²~102m²,2016,3,11097.9
439,경기,102m²~,2016,3,12144.0
440,부산,모든면적,2016,3,10487.4
441,부산,60m²,2016,3,9738.3
442,부산,60m²~85m²,2016,3,10236.599999999999
443,부산,85m²~102m²,2016,3,9758.1
444,부산,102m²~,2016,3,12299.099999999999
445,대구,모든면적,2016,3,10292.699999999999
446,대구,60m²,2016,3,11025.3
447,대구,60m²~85m²,2016,3,10408.199999999999
448,대구,85m²~102m²,2016,3,8378.699999999999
449,대구,102m²~,2016,3,9051.9
450,광주,모든면적,2016,3,8547.0
451,광주,60m²,2016,3,8151.0
452,광주,60m²~85m²,2016,3,8583.3
453,광주,85m²~102m²,2016,3,
454,광주,102m²~,2016,3,
455,대전,모든면적,2016,3,8098.2
456,대전,60m²,2016,3,8530.5
457,대전,60m²~85m²,2016,3,8012.4
458,대전,85m²~102m²,2016,3,8121.299999999999
459,대전,102m²~,2016,3,
460,울산,모든면적,2016,3,10117.8
461,울산,60m²,2016,3,8527.199999999999
462,울산,60m²~85m²,2016,3,10147.5
463,울산,85m²~102m²,2016,3,8787.9
464,울산,102m²~,2016,3,10088.1
465,세종,모든면적,2016,3,8811.0
466,세종,60m²,2016,3,8583.3
467,세종,60m²~85m²,2016,3,8847.3
468,세종,85m²~102m²,2016,3,8811.0
469,세종,102m²~,2016,3,9081.6
470,강원,모든면적,2016,3,7240.2
471,강원,60m²,2016,3,7421.7
472,강원,60m²~85m²,2016,3,7329.299999999999
473,강원,85m²~102m²,2016,3,
474,강원,102m²~,2016,3,7755.0
475,충북,모든면적,2016,3,6534.0
476,충북,60m²,2016,3,6352.5
477,충북,60m²~85m²,2016,3,6669.299999999999
478,충북,85m²~102m²,2016,3,7510.799999999999
479,충북,102m²~,2016,3,7461.299999999999
480,충남,모든면적,2016,3,6979.5
481,충남,60m²,2016,3,7345.799999999999
482,충남,60m²~85m²,2016,3,6976.2
483,충남,85m²~102m²,2016,3,8385.3
484,충남,102m²~,2016,3,8065.2
485,전북,모든면적,2016,3,6438.299999999999
486,전북,60m²,2016,3,6303.0
487,전북,60m²~85m²,2016,3,6464.7
488,전북,85m²~102m²,2016,3,7487.7
489,전북,102m²~,2016,3,7566.9
490,전남,모든면적,2016,3,6339.299999999999
491,전남,60m²,2016,3,6606.599999999999
492,전남,60m²~85m²,2016,3,6332.7
493,전남,85m²~102m²,2016,3,7464.599999999999
494,전남,102m²~,2016,3,7180.799999999999
495,경북,모든면적,2016,3,7190.7
496,경북,60m²,2016,3,7170.9
497,경북,60m²~85m²,2016,3,7230.299999999999
498,경북,85m²~102m²,2016,3,8827.5
499,경북,102m²~,2016,3,7636.2
500,경남,모든면적,2016,3,7863.9
501,경남,60m²,2016,3,7807.799999999999
502,경남,60m²~85m²,2016,3,7893.599999999999
503,경남,85m²~102m²,2016,3,10074.9
504,경남,102m²~,2016,3,8728.5
505,제주,모든면적,2016,3,7636.2
506,제주,60m²,2016,3,
507,제주,60m²~85m²,2016,3,7636.2
508,제주,85m²~102m²,2016,3,
509,제주,102m²~,2016,3,
510,서울,모든면적,2016,4,20595.3
511,서울,60m²,2016,4,21839.399999999998
512,서울,60m²~85m²,2016,4,20446.8
513,서울,85m²~102m²,2016,4,26716.8
514,서울,102m²~,2016,4,20964.899999999998
515,인천,모든면적,2016,4,10685.4
516,인천,60m²,2016,4,10965.9
517,인천,60m²~85m²,2016,4,10385.099999999999
518,인천,85m²~102m²,2016,4,11698.5
519,인천,102m²~,2016,4,15968.699999999999
520,경기,모든면적,2016,4,10556.699999999999
521,경기,60m²,2016,4,11220.0
522,경기,60m²~85m²,2016,4,10701.9
523,경기,85m²~102m²,2016,4,11203.5
524,경기,102m²~,2016,4,11916.3
525,부산,모든면적,2016,4,10457.699999999999
526,부산,60m²,2016,4,9810.9
527,부산,60m²~85m²,2016,4,10187.099999999999
528,부산,85m²~102m²,2016,4,9669.0
529,부산,102m²~,2016,4,12299.099999999999
530,대구,모든면적,2016,4,10335.599999999999
531,대구,60m²,2016,4,11025.3
532,대구,60m²~85m²,2016,4,10454.4
533,대구,85m²~102m²,2016,4,8378.699999999999
534,대구,102m²~,2016,4,9051.9
535,광주,모든면적,2016,4,8910.0
536,광주,60m²,2016,4,8580.0
537,광주,60m²~85m²,2016,4,8896.8
538,광주,85m²~102m²,2016,4,9088.199999999999
539,광주,102m²~,2016,4,11609.4
540,대전,모든면적,2016,4,8081.7
541,대전,60m²,2016,4,8345.699999999999
542,대전,60m²~85m²,2016,4,8002.5
543,대전,85m²~102m²,2016,4,
544,대전,102m²~,2016,4,
545,울산,모든면적,2016,4,10137.599999999999
546,울산,60m²,2016,4,8533.8
547,울산,60m²~85m²,2016,4,10150.8
548,울산,85m²~102m²,2016,4,8787.9
549,울산,102m²~,2016,4,9791.1
550,세종,모든면적,2016,4,8844.0
551,세종,60m²,2016,4,8764.8
552,세종,60m²~85m²,2016,4,8906.699999999999
553,세종,85m²~102m²,2016,4,8758.199999999999
554,세종,102m²~,2016,4,8956.199999999999
555,강원,모든면적,2016,4,7062.0
556,강원,60m²,2016,4,7071.9
557,강원,60m²~85m²,2016,4,7203.9
558,강원,85m²~102m²,2016,4,
559,강원,102m²~,2016,4,7755.0
560,충북,모든면적,2016,4,6494.4
561,충북,60m²,2016,4,6319.5
562,충북,60m²~85m²,2016,4,6633.0
563,충북,85m²~102m²,2016,4,7510.799999999999
564,충북,102m²~,2016,4,7461.299999999999
565,충남,모든면적,2016,4,7157.7
566,충남,60m²,2016,4,7573.5
567,충남,60m²~85m²,2016,4,7128.0
568,충남,85m²~102m²,2016,4,8385.3
569,충남,102m²~,2016,4,8705.4
570,전북,모든면적,2016,4,6299.7
571,전북,60m²,2016,4,6270.0
572,전북,60m²~85m²,2016,4,6322.799999999999
573,전북,85m²~102m²,2016,4,7487.7
574,전북,102m²~,2016,4,7854.0
575,전남,모든면적,2016,4,6352.5
576,전남,60m²,2016,4,6563.7
577,전남,60m²~85m²,2016,4,6345.9
578,전남,85m²~102m²,2016,4,7464.599999999999
579,전남,102m²~,2016,4,7180.799999999999
580,경북,모든면적,2016,4,7184.099999999999
581,경북,60m²,2016,4,7164.299999999999
582,경북,60m²~85m²,2016,4,7223.7
583,경북,85m²~102m²,2016,4,8827.5
584,경북,102m²~,2016,4,7636.2
585,경남,모든면적,2016,4,7890.299999999999
586,경남,60m²,2016,4,7962.9
587,경남,60m²~85m²,2016,4,7883.7
588,경남,85m²~102m²,2016,4,10480.8
589,경남,102m²~,2016,4,8778.0
590,제주,모든면적,2016,4,8972.699999999999
591,제주,60m²,2016,4,9414.9
592,제주,60m²~85m²,2016,4,9081.6
593,제주,85m²~102m²,2016,4,8992.5
594,제주,102m²~,2016,4,8586.6
595,서울,모든면적,2016,5,20671.199999999997
596,서울,60m²,2016,5,21905.399999999998
597,서울,60m²~85m²,2016,5,20476.5
598,서울,85m²~102m²,2016,5,25492.5
599,서울,102m²~,2016,5,20964.899999999998
600,인천,모든면적,2016,5,10490.699999999999
601,인천,60m²,2016,5,10965.9
602,인천,60m²~85m²,2016,5,10385.099999999999
603,인천,85m²~102m²,2016,5,11111.099999999999
604,인천,102m²~,2016,5,13833.599999999999
605,경기,모든면적,2016,5,11361.9
606,경기,60m²,2016,5,12276.0
607,경기,60m²~85m²,2016,5,11361.9
608,경기,85m²~102m²,2016,5,11121.0
609,경기,102m²~,2016,5,13054.8
610,부산,모든면적,2016,5,10388.4
611,부산,60m²,2016,5,9824.1
612,부산,60m²~85m²,2016,5,10134.3
613,부산,85m²~102m²,2016,5,10216.8
614,부산,102m²~,2016,5,11668.8
615,대구,모든면적,2016,5,10335.599999999999
616,대구,60m²,2016,5,11170.5
617,대구,60m²~85m²,2016,5,10447.8
618,대구,85m²~102m²,2016,5,8378.699999999999
619,대구,102m²~,2016,5,9051.9
620,광주,모든면적,2016,5,8982.6
621,광주,60m²,2016,5,8471.1
622,광주,60m²~85m²,2016,5,8985.9
623,광주,85m²~102m²,2016,5,9088.199999999999
624,광주,102m²~,2016,5,11609.4
625,대전,모든면적,2016,5,8134.5
626,대전,60m²,2016,5,8520.6
627,대전,60m²~85m²,2016,5,8009.099999999999
628,대전,85m²~102m²,2016,5,
629,대전,102m²~,2016,5,
630,울산,모든면적,2016,5,10154.099999999999
631,울산,60m²,2016,5,8580.0
632,울산,60m²~85m²,2016,5,10164.0
633,울산,85m²~102m²,2016,5,8787.9
634,울산,102m²~,2016,5,9791.1
635,세종,모든면적,2016,5,8844.0
636,세종,60m²,2016,5,8764.8
637,세종,60m²~85m²,2016,5,8906.699999999999
638,세종,85m²~102m²,2016,5,8758.199999999999
